Band_ID,Adult_Color,HY_Color,Sex,Birth_Year,Known_Age,Banding_Age,Mother_ID,Father_ID,Banding_Date,Natal_NestKey,Last_Yr_Seen
2021.76603,,,U,1989,True,N,1560.04274,2021.76339,06/22/89,89-M28.2,1989
2021.76604,,,U,1989,True,N,1560.04274,2021.76339,06/22/89,89-M28.2,1989
2021.76605,,�,M,1989,True,N,1560.04274,2021.76339,06/22/89,89-M28.2,1993
2021.76606,,,U,1989,True,N,1560.04274,2021.76339,06/22/89,89-M28.2,1989
2021.76607,,,U,1989,True,N,940.25395,2011.8177,06/22/89,89-M29.2,1989
2021.76608,,,U,1989,True,N,940.25395,2011.8177,06/22/89,89-M29.2,1989
2021.76609,,,U,1989,True,N,940.25395,2011.8177,06/22/89,89-M29.2,1989
2021.7661,,,U,1989,True,N,940.25395,2011.8177,06/22/89,89-M29.2,1989
2021.76611,,,U,1989,True,N,940.25395,2011.8177,06/22/89,89-M29.2,1989
2021.76612,,,U,1989,True,N,940.25732,2021.76304,06/23/89,89-O24.1,1989
2021.76613,,,U,1989,True,N,940.25732,2021.76304,06/23/89,89-O24.1,1989
2021.76614,,,U,1989,True,N,940.25732,2021.76304,06/23/89,89-O24.1,1989
2021.76615,,,U,1989,True,N,940.25751,1560.04512,06/23/89,89-M21.5,1989
2021.76616,,,U,1989,True,N,940.25751,1560.04512,06/23/89,89-M21.5,1989
2021.76617,,,U,1989,True,N,940.25751,1560.04512,06/23/89,89-M21.5,1989
2021.76618,,,U,1989,True,N,940.25751,1560.04512,06/23/89,89-M21.5,1989
2021.76619,,,U,1989,True,N,1560.0415,970.12548,06/25/89,89-M25.4,1989
2021.7662,,,U,1989,True,N,1560.0415,970.12548,06/25/89,89-M25.4,1989
2021.76621,,,U,1989,True,N,1560.0415,970.12548,06/25/89,89-M25.4,1989
2021.76622,,,U,1989,True,N,1560.0415,970.12548,06/25/89,89-M25.4,1989
2021.76623,,,U,1989,True,N,1560.0415,970.12548,06/25/89,89-M25.4,1989
2021.76624,,,U,1989,True,N,940.25375,2011.81256,06/25/89,89-M26.5,1989
2021.76625,,,U,1989,True,N,940.25375,2011.81256,06/25/89,89-M26.5,1989
2021.76626,,,U,1989,True,N,940.25375,2011.81256,06/25/89,89-M26.5,1989
2021.76627,,,U,1989,True,N,940.25375,2011.81256,06/25/89,89-M26.5,1989
2021.76628,,,U,1989,True,N,940.25375,2011.81256,06/25/89,89-M26.5,1989
2021.76629,,,U,1989,True,N,940.25737,2021.76337,06/25/89,89-L27.2,1989
2021.7663,LW.,,M,1989,True,N,940.25737,2021.76337,06/25/89,89-L27.2,1993
2021.76631,,,U,1989,True,N,940.25737,2021.76337,06/25/89,89-L27.2,1989
2021.76632,,,U,1989,True,N,940.25737,2021.76337,06/25/89,89-L27.2,1989
2021.76633,,,U,1989,True,N,940.25737,2021.76337,06/25/89,89-L27.2,1989
2021.76634,,,U,1989,True,N,940.25737,2021.76337,06/25/89,89-L27.2,1989
2021.76635,,,U,1989,True,N,2021.7632,2021.76344,06/25/89,89-N31.3,1989
2021.76636,,,U,1989,True,N,2021.7632,2021.76344,06/25/89,89-N31.3,1989
2021.76637,,,U,1989,True,N,2021.7632,2021.76344,06/25/89,89-N31.3,1989
2021.76638,,,U,1989,True,N,2021.7632,2021.76344,06/25/89,89-N31.3,1989
2021.76639,,,U,1989,True,N,2021.7632,2021.76344,06/25/89,89-N31.3,1989
2021.7664,,,U,1989,True,N,2021.7632,2021.76344,06/25/89,89-N31.3,1989
2021.76641,,,U,1989,True,N,940.25351,2021.7631,06/25/89,89-O29.2,1989
2021.76642,,,U,1989,True,N,940.25742,2021.76354,06/25/89,89-O26.5,1989
2021.76643,,,U,1989,True,N,940.25742,2021.76354,06/25/89,89-O26.5,1989
2021.76644,,,U,1989,True,N,940.25742,2021.76354,06/25/89,89-O26.5,1989
2021.76645,,,U,1989,True,N,940.25742,2021.76354,06/25/89,89-O26.5,1989
2021.76646,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.76647,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.76648,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.76649,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.7665,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.76651,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.76652,,,U,1989,True,N,940.25368,2011.8121,06/25/89,89-O25.4,1989
2021.76653,,,U,1989,True,N,2021.76307,2021.76204,06/26/89,89-O25.1,1989
2021.76654,,,U,1989,True,N,2021.76307,2021.76204,06/26/89,89-O25.1,1989
2021.76655,,,F,1989,True,N,2021.76307,2021.76204,06/26/89,89-O25.1,2011
2021.76656,,,U,1989,True,N,2021.76307,2021.76204,06/26/89,89-O25.1,1989
2021.76657,,,U,1989,True,N,2021.76307,2021.76204,06/26/89,89-O25.1,1989
2021.76658,,,U,1989,True,N,2021.76307,2021.76204,06/26/89,89-O25.1,1989
2021.76659,,,U,1989,True,N,2021.76306,2011.8184,06/25/89,89-O29.1,1989
2021.7666,,,U,1989,True,N,2021.76306,2011.8184,06/25/89,89-O29.1,1989
2021.76661,,,U,1989,True,N,2021.76306,2011.8184,06/25/89,89-O29.1,1989
2021.76662,,,U,1989,True,N,2021.76306,2011.8184,06/25/89,89-O29.1,1989
2021.76663,,,U,1989,True,N,2021.76306,2011.8184,06/25/89,89-O29.1,1989
2021.76664,,,U,1989,True,N,2021.76309,2011.81699,06/26/89,89-N30.2,1989
2021.76665,,,U,1989,True,N,940.25747,2011.81161,06/26/89,89-M27.2,1989
2021.76666,,,U,1989,True,N,940.25747,2011.81161,06/26/89,89-M27.2,1989
2021.76667,,,U,1989,True,N,940.25747,2011.81161,06/26/89,89-M27.2,1989
2021.76668,,,U,1989,True,N,940.25747,2011.81161,06/26/89,89-M27.2,1989
2021.76669,,,U,1989,True,N,940.25747,2011.81161,06/26/89,89-M27.2,1989
2021.7667,,,U,1989,True,N,940.25747,2011.81161,06/26/89,89-M27.2,1989
2021.76671,,,U,1989,True,N,940.25382,910.26792,06/25/89,89-O24.3,1989
2021.76672,,,U,1989,True,N,940.25382,910.26792,06/25/89,89-O24.3,1989
2021.76673,,,U,1989,True,N,940.25382,910.26792,06/25/89,89-O24.3,1989
2021.76674,,,U,1989,True,N,940.25382,910.26792,06/25/89,89-O24.3,1989
2021.76675,,,U,1989,True,N,940.25382,910.26792,06/25/89,89-O24.3,1989
2021.76676,,,U,1989,True,N,940.25382,910.26792,06/25/89,89-O24.3,1989
2021.76677,,,U,1989,True,N,2021.76308,2011.81831,06/26/89,89-N27.1,1989
2021.76678,,,U,1989,True,N,2021.76308,2011.81831,06/26/89,89-N27.1,1989
2021.76679,,,U,1989,True,N,2021.76308,2011.81831,06/26/89,89-N27.1,1989
2021.7668,,,U,1989,True,N,2021.76308,2011.81831,06/26/89,89-N27.1,1989
2021.76681,,,U,1989,True,N,2021.76308,2011.81831,06/26/89,89-N27.1,1989
2021.76682,,,U,1989,True,N,940.25074,2021.76346,06/26/89,89-L20.1,1989
2021.76683,,,U,1989,True,N,940.25074,2021.76346,06/26/89,89-L20.1,1989
2021.76684,,,U,1989,True,N,940.25074,2021.76346,06/26/89,89-L20.1,1989
2021.76685,,,U,1989,True,N,940.25074,2021.76346,06/26/89,89-L20.1,1989
2021.76686,,,U,1989,True,N,940.25074,2021.76346,06/26/89,89-L20.1,1989
